dataset,cache_size,HR_full,HR_base,miss_rate_full,miss_rate_base,rel_miss_reduction,median_diff,mean_diff_x,wilcoxon_stat,p_value,mean_diff_y,ci_low,ci_high
wiki2018,16123,0.4675794444444445,0.4594287777777778,0.5324205555555555,0.5405712222222222,0.015077877496253604,-4.499999999998949e-05,0.008150666666666662,2094.5,0.22243840344575017,0.008289970851851847,0.000763636111111104,0.01778033888888888
wiki2018,20154,0.48276366666666665,0.4739518888888889,0.5172363333333334,0.526048111111111,0.016750897097920443,0.0008600000000000274,0.008811777777777786,3401.0,9.618164147720509e-10,0.008951443925925933,0.0013867277777777872,0.01836269444444446
wiki2018,40308,0.5260672222222222,0.5193519999999999,0.47393277777777776,0.4806480000000001,0.01397118519628151,0.0027900000000000147,0.006715222222222221,3893.0,4.097152419310587e-16,0.006784592962962964,0.0027648194444444473,0.012193675000000006
wiki2018,60463,0.558828,0.5491907777777778,0.441172,0.4508092222222222,0.021377606639714233,0.009265000000000023,0.009637222222222228,3916.0,1.8658711459620413e-16,0.009635794481481488,0.008629319444444452,0.010700197222222225
wiki2018,80617,0.5846503333333334,0.5734653333333333,0.4153496666666666,0.42653466666666673,0.02622295647716038,0.012190000000000034,0.011185000000000002,3854.0,1.523303708991165e-15,0.011182440518518522,0.008417047222222225,0.013631069444444442
wiki2018,100772,0.6051606666666667,0.5884208888888889,0.3948393333333333,0.4115791111111111,0.04067207816399282,0.019199999999999995,0.01673977777777778,3906.0,2.629384793675229e-16,0.016730557740740743,0.013157130555555554,0.019906894444444437
wikipedia_september_2007,12221,0.6367145000000001,0.631308125,0.36328549999999993,0.368691875,0.014663667323832601,0.0003949999999999787,0.005406375000000002,2922.0,2.9709126513163592e-12,0.0055225060000000025,0.000905274999999998,0.011237028124999996
wikipedia_september_2007,15277,0.644506125,0.639004,0.35549387499999996,0.360996,0.015241512371328283,0.0008999999999999564,0.005502124999999994,3075.0,1.0605037664510213e-14,0.00561275191666666,0.0012946031249999929,0.010817981249999997
wikipedia_september_2007,30554,0.669728875,0.6666386249999999,0.330271125,0.33336137500000007,0.009269970163760188,0.001825000000000021,0.003090250000000004,3078.0,9.439800445079349e-15,0.003129190916666671,0.0017582218750000057,0.004900331250000002
wikipedia_september_2007,45831,0.6892531249999999,0.68391925,0.3107468750000001,0.31608075,0.016875039052520382,0.005944999999999978,0.005333875,3079.0,9.087407676344663e-15,0.005337705791666667,0.004446181249999999,0.006150653125000005
wikipedia_september_2007,61109,0.703853375,0.6955731249999999,0.296146625,0.3044268750000001,0.027199471137362947,0.009284999999999988,0.008280249999999998,3078.0,9.44503716856065e-15,0.008264259166666664,0.006986824999999999,0.009314543749999994
wikipedia_september_2007,76386,0.7146355,0.70331125,0.2853645,0.29668874999999995,0.03816878799752241,0.013369999999999993,0.01132424999999999,3077.0,9.819224771752573e-15,0.01127999416666666,0.008952309374999988,0.01330376874999999
